Year of Ceremony,Movie_Title,Nominations,Directed_By,Written_By,Produced_By,Screenplay_By,Adapted_From,Cast,Cinematography,Edited_By,Production Companies,Distributed_By,Date_Released,Running_Time (minutes),Producer_Country,Language,Budget (in millions),Box Office (in millions),Gains,"% of budget/box office made (If the budget is 1/3rd of the revenue, then movie did good, smaller than 33% is better)",Parental Guide,RT Critics,RT Audience,Lat,Long,Setting_City,Setting_Country,Filming_City,Filming_Country,Setting_Time,Film genre ,Summary,Notes
1st,Sorrell and Son,"1 NOMINATION
Directing (Dramatic Picture) - Herbert Brenon","Herbert Brenon
Ray Lissner (assistant)","Elizabeth Meehan (adaptation)
Herbert Brenon (scenario)",Joseph Schenck,,"Sorrell and Son
by Warwick Deeping    ",H. B. Warner as Stephen Sorrell; Anna Q. Nilsson as Dora Sorrell; Mickey McBan as Kit (as a child); Carmel Myers as Flo Palfrey; Lionel Belmore as John Palfrey; Norman Trevor as Thomas Roland; Betsy Ann Hisle as Molly (as a child); Louis Wolheim as Buck; Paul McAllister as Dr. Orange; Alice Joyce as Fanny Garland; Nils Asther as Christopher 'Kit' Sorrell; Mary Nolan as Molly Roland,James Wong Howe,Marie Halvey,,United Artists,"December 2, 1927",100,United States,Silent (English Intertitles),,,0,#DIV/0!,Pre-Hays Code,,,,,,,,England,,Drama,,"The 1927 version was considered a lost film for many years. However, the Academy Film Archive restored both an almost-complete copy of Sorrell and Son and a trailer for the film, in 2004 and 2006, respectively.[2]"
1st,The Dove,"1 WIN, 1 NOMINATION
* Art Direction - William Cameron Menzies",Roland West,"Gerald Beaumont (story)
Roland West (adaptation)
Wallace Smith (adaptation, intertitles)","Norma Talmadge
Joseph M. Schenck",-,"The Dove (1925 Broadway play)
by Willard Mack",Norma Talmadge as Dolores; Noah Beery as Don José María y Sandoval; Gilbert Roland as Johnny Powell; Eddie Borden as Billy; Harry Myers as Mike; Walter Daniels as The Drunk; Kalla Pasha as The Comandante; Michael Vavitch as Gómez; Brinsley Shaw as The Patriot; Charles Darvas as The Comandante's Captain; Michael Dark as Sandoval's Captain; Olga Baclanova as Bit Part (uncredited);; Robert Gleckler as Bit Part (uncredited); Mark Hamilton as Prisoner (uncredited); Andy MacLennan as Bit Part (uncredited); Jack McDonald as Bit Part (uncredited); Alice White as Bit Part (uncredited),Oliver T. Marsh,Hal C. Kern,Norma Talmadge Film Corporation,United Artists,"December 31, 1927",90,United States,Silent (English Intertitles),-,-,-,-%,Pre-Hays Code,67,-,-,-,-,-,,,-,Romantic drama,"The original story is about Mexican despot Don José (Beery), who falls in love with the dancing girl Dolores (Talmadge) who rejects him. Due to the potential political repercussions of condemning Mexico, it was decided to relocate the plot to some anonymous Mediterranean country.","The film was Norma Talmadge's first feature for United Artists.
Though the film was not well received, William Cameron Menzies won the first Academy Award for Best Art Direction in 1928 for this film[1] and Tempest, though the award was then called ""Interior Decoration.""[4]
In 1932, Herbert Brenon directed a new talkie version named Girl of the Rio, starred by Dolores del Río for RKO Radio Pictures.
Prints of The Dove are located in the collections of the Library of Congress and Swedish Film Institute.[6] The Library of Congress has reels 1, 3, 4, and 8, and is missing reels 2, 5, 6, 7, and 9.[7][8]"
1st,A Ship Comes In,"1 NOMINATION
Actress - Louise Dresser",William K. Howard,"Julien Josephson
John W. Krafft
Sonya Levien",,,,Rudolph Schildkraut - Peter Pleznik; Louise Dresser - Mama Pleznik; Milton Holmes - Eric; Linda Landi - Marthe; Fritz Feld - Sokol; Lucien Littlefield - Dan Casey; Robert Edeson - Judge Gresham; Louis Natheaux - Seymon,Lucien N. Andriot,Barbara Hunter,,Pathé Exchange,"January 4, 1928",70,United States,Silent (English Intertitles),,,0,#DIV/0!,Pre-Hays Code,,,,,New York City,United States,,,1914,Drama,"The film focuses on the Plezniks, a European family immigrating to the United States just before the outbreak of the first World War. The family is boundlessly optimistic about their new life, in particular Peter, the family patriarch. Peter makes a friend of his neighbor Mr. Casey, who helps him get a job as a janitor at the local embassy; after five years, the embassy's Judge makes an enthusiastic Peter a citizen of the United States. At this time, Peter's oldest child Eric, has left to join the military, with the same level of enthusiasm as his father. Mama Pleznik, however, is worried, but lets him go.
In a plot to kill the embassy judge, Peter is framed when an explosive is hidden in a package he had given to the Judge as a thank-you gift. Upon a jury finding him guilty, Peter finally breaks down in tears, but is soon back to his normal optimistic self in prison. His fortune improves when the real bomber, having suffered a guilty conscience, confesses to the police. His patriotism praised, Peter is released, gets his job back (with back pay), and returns to see his family. After a warm welcome, Peter is disheartened to learn that Eric has been killed in action. But his and Mrs. Pleznik's grief turns to pride when they remember Eric was just as loyal to his new country as they were; the film ends with Peter saluting his son's portrait on the wall.","The film is preserved in the Library of Congress, George Eastman House, Filmarchiv Austria.[3]"
1st,Sadie Thompson,"2 NOMINATIONS
Actress - Gloria Swanson
Cinematography - George Barnes",Raoul Walsh,"Gloria Swanson
Raoul Walsh",Gloria Swanson Productions,W. Somerset Maugham,"Rain
by John Colton and Clemence Randolph",Gloria Swanson as Sadie Thompson; Lionel Barrymore as Mr. Alfred Davidson; Blanche Friderici as Mrs. Alfred Davidson; Charles Willis Lane as Dr. Angus McPhail; Florence Midgley as Mrs. Angus McPhail; James A. Marcus as Joe Horn; Sophia Artega as Ameena; Will Stanton as Quartermaster Bates; Raoul Walsh as Sergeant Timothy O'Hara,"George Barnes
Robert Kurrle
Oliver T. Marsh",C. Gardner Sullivan,Gloria Swanson Productions,United Artists,"January 7, 1928",91,United States,Silent (English Intertitles),0.65,8,7.35,8%,Pre-Hays Code,,,-14.27312572,-170.7013261,Pago Pago,American Samoa,,,1922,Drama,"A smoking, drinking, jazz listening, young prostitute named Sadie Thompson (Gloria Swanson) arrives at Pago Pago (American Samoa), on her way to a job with a shipping line on another island. At the same time, 'moralists' arrive, including Mr. and Mrs. Davidson (Lionel Barrymore and Blanche Friderici). They all end up staying in the same hotel, where the Davidsons plot to teach the natives about sin and Sadie entertains a bunch of Marines.
Sadie begins to fall in love with Sergeant Timothy O'Hara (Raoul Walsh), who is not fazed by her past. He tells her that he has a best friend who married a former prostitute, and the couple now lives happily in Australia.
Davidson sets about trying to redeem Sadie, much to her disgust. He tricks her into telling him about her past in San Francisco, and once she refuses to repent, he declares that he will go to the governor and have her deported. Sadie is terrified of the threat, but O'Hara assures her that it will not happen. He tells her he wishes she would go to Australia and wait for his term of service to finish, after which they can get married. She agrees.
Davidson gets his way, however, and Sadie is livid. She and O'Hara go to the governor, begging him to let her go to Australia instead of back to San Francisco. Davidson has managed to get O'Hara punished for being immoral, but Sadie will be able to go to Australia if Davidson approves. Sadie pleads with him, but to no avail. She eventually confesses that, if she goes back to San Francisco, there is ""a man there who won't let her go straight"", which is what she wants to do. Davidson figures out this statement means that there is a warrant for her arrest back in San Francisco. Sadie claims that she was framed and she is innocent, but will go to prison if she is sent back.
Davidson still refuses, saying she must atone for her past. Sadie pleads and pleads and eventually offers to repent. Davidson, however, says that the only way to fully repent is for her to go to prison. Sadie runs to her room, crying out for Davidson. Davidson returns, and Sadie confesses she is afraid. Davidson then tells her that, if she repents, there will be nothing to fear and he begins to pray with her. Sadie converts to Christianity.
Sadie prays for three whole days. She has put away her old things and has become a modest woman. O'Hara returns and finds Davidson is gone, apparently ""trying to stop the locals from dancing on the beach"". O'Hara tells Sadie that he has a fishing boat waiting to take her and her things to a ship that will then take her to Australia, where they can marry and be free. Sadie is extremely afraid and refuses to go, saying that the ""old Sadie is dead"" and she must go to San Francisco and prison to repent.
O'Hara does everything he can, including forcibly taking her from the room, but Davidson is waiting outside. O'Hara tries to attack him, but Sadie asks him to stop. O'Hara, extremely upset, leaves and Sadie pleads with Davidson not to get him in trouble, for ""it was all her fault"".
Later that night, Sadie is asleep, and everyone else is heading to bed. Davidson can not sleep and goes out for a walk in the rain. (It has rained almost continuously.) His wife says he cannot sleep for ""the unpleasant dreams he's been having about Miss Thompson"". A fellow boarder suspects they are not ""all that unpleasant"". Outside, Davidson struggles with himself and realizes that he is sexually attracted to Sadie and that he is unable to handle it. He looks into her window and eventually returns to his room.
Sadie, frightened because she heard noises, is waiting in Davidson's room. Davidson is shocked and sends her back to her room.
The last reel of the film is missing, but the story as originally filmed was that the fishermen find Davidson's body. He has committed suicide. Sadie and O'Hara reconcile and head for Australia.","Due to the subject matter, the making of the film was extremely controversial. However, it was a financial and critical success for Swanson.
Due to the public's apathy towards silent films, a sound version was prepared in the latter half of 1928. While the sound version has no audible dialog, it features a synchronized musical score with sound effects along with a theme song.
Swanson did not attend the ceremony, and always felt it was like ""comparing apples to oranges.""[31]"
1st,The Private Life of Helen of Troy,"1 NOMINATION
Writing (Title Writing) - Gerald Duffy",Alexander Korda,"Gerald C. Duffy (intertitles)
Ralph Spence (intertitles)
Casey Robinson (intertitles)",Richard A. Rowland,-,"The Private Life of Helen of Troy
by John Erskine",María Corda as Helen; Lewis Stone as Menelaus; Ricardo Cortez as Paris; George Fawcett as Eteoneus; Alice White as Adraste; Bill Elliott as Telemachus; Tom O'Brien as Ulysses; Bert Sprotte as Achilles; Mario Carillo as Ajax; Charles Puffy as Malapokitoratoreadetos; George Kotsonaros as Hector; Emilio Gorgato as Sarpedon; Constantine Romanoff as Aeneas; Alice Adair as Aphrodite; Helen Fairweather as Athena; Virginia Thomas as Hera; Agostino Borgato (uncredited); Sonia Karlov (uncredited); Inez Marion (uncredited); Jack Stambaugh as Extra (uncredited); John Westwood as Extra (uncredited); Clifford Ingram as Chariot Driver (uncredited); Gusztáv Pártos as Nobleman (uncredited),"Lee Garmes
Sidney Hickox",Harold Young,,First National Pictures,"January 8, 1928",87,United States,Silent (English Intertitles),,,-,-%,Pre-Hays Code,,,,,,,,,,,,"Duffy died on June 25, 1928, and was the first person to be posthumously nominated for an Academy Award.[2]
Two sections from the beginning and end, running about 27–30 minutes in total, are reportedly all that survive of The Private Life of Helen of Troy; they are preserved by the British Film Institute.[1][3]"
1st,The Last Command,"2 NOMINATIONS, 1 WIN
* Actor - Emil Jannings
Writing (Original Story) - Lajos Biro",Josef von Sternberg,"John F. Goodrich
Herman J. Mankiewicz (titles)","Adolph Zukor
Jesse L. Lasky","Lajos Bíró
Josef von Sternberg",-,"Emil Jannings as Grand Duke Sergius Alexander; Evelyn Brent as Natalie ""Natacha"" Dabrova; William Powell as Leo Andreyev; Jack Raymond as the Assistant Director; Nicholas Soussanin as the Adjutant; Michael Visaroff as the Bodyguard; Fritz Feld as A revolutionist",Bert Glennon,William Shea,Paramount Famous Lasky Corp.,Paramount Pictures,"January 22, 1928",85,United States,Silent (English Intertitles),-,-,-,-%,Pre-Hays Code,90,95,55.75390226,37.61222498,"Los Angeles (Hollywood)
Moscow","United States
Russia",Los Angeles (Hollywood),United States,"1928
1918",Romantic drama,"In 1928 Hollywood, director Leo Andreyev looks through photographs for actors for his next movie. When he comes to the picture of an aged Sergius Alexander, he pauses, then tells his assistant to cast the man. Sergius shows up at the Eureka Studio with a horde of other extras and is issued a general's uniform. As he is dressing, another actor complains that his continual head twitching is distracting. Sergius apologizes and explains that it is the result of a great shock he once experienced.
The film then flashes back ten years to Czarist Russia, which is in the midst of the Revolution. Grand Duke Sergius Alexander, the Czar's cousin and commander of all his armies, is informed by his adjutant that two actors entertaining the troops have been identified as dangerous ""revolutionists"" during a routine passport check. He decides to toy with them for his amusement. When one of them, Leo Andreyev, becomes insolent, Sergius whips him across the face and has him jailed.
Leo's companion, the beautiful Natalie Dabrova, is an entirely different matter. She intrigues Sergius. Despite the danger she poses, he takes her along with him. After a week, he gives her a pearl necklace as a token of his feelings for her. She comes to realize that he is at heart a man of great honor who loves Russia as deeply as she does. When she invites him to her room, he spots a partially hidden pistol, but deliberately turns his back to her. She draws the weapon, but cannot fire. Despite their political differences, she has fallen in love with him.
When the Bolsheviks capture the train on which they are traveling, she pretends to despise him. Instead of having him shot out of hand like his officers, she suggests they have him stoke coal into the locomotive all the way to Petrograd, where he will be publicly hanged. This is a ruse to keep him alive and, when everyone on board is drunk, she helps him escape, giving him back the pearl necklace to finance his way out of the country. Sergius jumps from the train, then watches in horror as it tumbles off a nearby bridge into the icy river below, taking Natalie with it. This moment is when Sergius develops his head twitch.
Ten years later, Sergius is reduced to poverty, eking out a living as a Hollywood extra. When he and the director finally meet, Sergius recognizes him. Leo, in an ironic act calculated to humiliate him, casts him as a Russian general in a battle scene. He is directed to give a speech to a group of actors playing his dispirited men. When one soldier tries to incite a mutiny, telling the general that ""you've given your last command"", he whips the man in the face as instructed, just as he had once struck Leo. Losing his grip on reality, he imagines himself genuinely on the battlefield, besieged by enemies, and passionately urges his men to fight for Russia. Overstraining himself, he dies, inquiring with his last words if they have won. Moved, Leo tells him they have. The assistant remarks, ""That guy was a great actor."" Leo replies, ""He was more than a great actor – he was a great man.""","In 2006, the film was deemed ""culturally, historically, or aesthetically significant"" by the United States Library of Congress and selected for the National Film Registry.[2][3]
The film's copyright was renewed, and therefore it did not fall into the public domain in the United States until 2024.[35][36]"
1st,The Circus,"1 WIN, 1 NOMINATION
* Special Award - Special Award",Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,-,-,"Charlie Chaplin as The Tramp; Al Ernest Garcia as The Circus Proprietor and Ringmaster [credited as Allan Garcia]; Merna Kennedy as The Ringmaster's Step-daughter, a Circus Rider; Harry Crocker as Rex, a Tight Rope Walker (also a disgruntled property man and a clown); George Davis as a Magician; Henry Bergman as an Old Clown; Tiny Sandford as The Head Property Man [credited as Stanley J. Sandford]; John Rand as an Assistant Property Man (also a clown); Steve Murphy as a Pickpocket",Roland Totheroh,-,United Artists,United Artists,"January 27, 1928",70,United States,Silent (English Intertitles),0.9,3.8,2.9,24%,Pre-Hays Code,97,94,,,Unknown,United States,"Los Angeles (Hollywood, Glendale)",United States,1927,Romantic comedy,"The ringmaster of an impoverished circus hires Chaplin's Little Tramp as a clown, but discovers that he can only be funny unintentionally.","The production of the film was the most difficult experience in Chaplin's career. Numerous problems and delays occurred, including a studio fire, the death of Chaplin's mother, as well as Chaplin's bitter divorce from his second wife Lita Grey, and the Internal Revenue Service's claims of Chaplin's owing back taxes, all of which culminated in filming being stalled for eight months.[2] The Circus was the seventh-highest-grossing silent film in cinema history, taking in more than $3.8 million in 1928.[1] The film continues to receive high praise. The film's copyright was renewed, so it entered the public domain on January 1, 2024.[3]
Charlie Chaplin was originally nominated for three Academy Awards, but the Academy took Chaplin out of the running by giving him a Special Award ""for writing, acting, directing and producing The Circus"".[32][33] The Academy no longer lists Chaplin's nominations in their official list of nominees, although most unofficial lists include him.[34]"
1st,The Noose,"1 NOMINATION
Actor - Richard Barthelmess",John Francis Dillon,"James T. O'Donohoe (adaptation)
Garrett Graham (titles)","Henry Hobart
Richard A. Rowland",H.H. Van Sloan,"The Noose
by Willard Mack and H.H. Van Sloan","Richard Barthelmess as Nickie Elkins; Montagu Love as Buck Gordon; Robert Emmett O'Connor as Jim Conley; Jay Eaton as Tommy; Lina Basquette as Dot; Thelma Todd as Phyllis; Ed Brady as Seth McMillan; Fred Warren as Dave, Pianist; Alice Joyce as Mrs. Bancroft; Will Walling as Warden (credited as William Walling); Robert T. Haines as Governor; Ernest Hilliard as Craig; Emile Chautard as Priest; Romaine Fielding as Judge; Yola d'Avril as Cabaret Girl; William B. Davidson as Bill Chase; Mike Donlin as Waiter; Joseph W. Girard as Captain of the Guards; Bob Kortman as Death Row Convict; Ivan Linow as Death Row Convict; Charles McMurphy as Bar Patron; Monte Montague as Guard; George H. Reed as Death Row Inmate; Hector; Sarno as Rival Hood; Harry Semels as Waiter; Charles Sullivan as Head Waiter",James Van Trees,Jack Dennis,,First National Pictures,"January 29, 1928",65,United States,Silent (English Intertitles),,,0,#DIV/0!,Pre-Hays Code,,,,,,,,,,Drama,-,"A print of The Noose is located at the Museum of Modern Art in New York City.
"
1st,The Crowd,"2 NOMINATIONS
Directing (Dramatic Picture) - King Vidor
Unique and Artistic Picture - Metro-Goldwyn-Mayer",King Vidor,Joseph Farnham (titles),Irving Thalberg,"King Vidor
John V.A. Weaver",-,"Eleanor Boardman as Mary Sims; James Murray as John Sims; Bert Roach as Bert; Estelle Clark as Jane; Daniel G. Tomlinson as Jim; Dell Henderson as Dick; Lucy Beaumont as Mary's mother; Freddie Burke Frederick as ""Junior""; Alice Mildred Puter as daughter",Henry Sharp,Hugh Wynn,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"March 3, 1928",98,United States,Silent (English Intertitles),-,-,-,-%,Pre-Hays Code,96,90,40.76703307,-73.96931152,New York City,United States,"New York City
Culver City
Venice Pier",United States,"1921
1922
1927",Drama,"Born on the Fourth of July, 1900, John Sims loses his father when he is twelve. At 21, he sets out for New York City, where he is sure he will become somebody important, just as his father had always believed. Another boat passenger tells him he will have to be good in order to stand out from the crowd.
John gets a job as one of many office workers of the Atlas Insurance Company. Fellow employee Bert talks him into a double date to Coney Island. John is so smitten with Mary, he proposes to her at the end of the date; she accepts. Bert predicts the marriage will last a year or two.
A Christmas Eve dinner in their tiny apartment with Mary's mother and two brothers, with whom John is not on friendly terms, ends badly. John goes to Bert's to get some liquor. A young woman there throws herself at him, complimenting him on his looks, and starts to dance with him. John returns home very late and very drunk. Mary's family has gone home, and she tells him that they do not understand him. They exchange Christmas gifts and John compliments her, but yells at her when she does something trivial.
In April, they quarrel and Mary threatens to leave, and is shocked and hurt by John's apathy when he does not try to stop her. The couple reconciles when Mary tells John that she is pregnant. She gives birth to a son. Over the next five years, the couple have a daughter and an $8 raise, but Mary is dissatisfied with John's lack of advancement, especially compared to Bert, and in light of John's big talk about his prospects.
Finally, John wins $500 for an advertising slogan; and buys presents for his family. When he and Mary urge their children to rush home to see their gifts, their daughter is killed by a truck. John is so overcome with grief, he cannot function at work. When reprimanded, he quits.
John gets other jobs, but cannot hold onto any of them. Mary's brothers reluctantly offer him a position, but John is too proud to accept what he deems a ""charity job"". In a fit of rage, Mary slaps him. John goes for a walk, contemplates suicide, but his son goes with him. The child's unconditional love for him makes him rethink his situation, and he changes his mind. John gets work as a sandwich board carrier and returns home, his optimism renewed, only to find Mary about to leave with her brothers. She steps out of the house, but no further. She loves John too much to abandon him. The reconciled family attends a vaudeville comedy show, with the final shot showing them overcome with laughter, and lost in the crowded audience of laughing people.",The film is widely regarded by critics and historians as one of the greatest films ever made and a landmark of silent-era cinema.
2nd,Skyscraper,"1 NOMINATION
Writing - Elliott Clawson",Howard Higgin,"Elliott J. Clawson
Tay Garnett (titles)
Dudley Murphy (story)","Ralph Block
Cecil B. DeMille (for PDC)",,,William Boyd as Blondy; Alan Hale as Slim Strede; Sue Carol as Sally; Alberta Vaughn as Jane; Wesley Barry as Redhead; Paul Weigel as Redhead's father,John W. Boyle,Adelaide Cannon,DeMille Pictures Corporation,Pathe Exchange,"April 8, 1928",68,United States,Silent,,,,,,,,,,,,,,,Drama,"The original story, by Dudley Murphy, was about two construction workers involved in building a New York skyscraper who are rivals for a woman's love.",
